Date,Open,High,Low,Close,Volume
1/5/2022 15:30:00,1231,1238.5,1216.47,1234.8,5373618
1/6/2022 15:30:00,1225.6,1227,1204.5,1208.25,6667483
1/7/2022 15:30:00,1215.47,1229.03,1205.78,1218,6051239
1/10/2022 15:30:00,1226,1228.5,1208.03,1219,4267365
1/11/2022 15:30:00,1218,1237.47,1217.5,1227.78,7478681
1/12/2022 15:30:00,1235.65,1262.47,1232.5,1260.55,6830402
1/13/2022 15:30:00,1260.63,1270.5,1254.2,1267.65,5471871
1/14/2022 15:30:00,1267.5,1283.65,1262.93,1269.5,9197773
1/17/2022 15:30:00,1269,1282.5,1268.5,1276.13,3708822
1/18/2022 15:30:00,1277.38,1281.18,1257.88,1260.9,2868235
1/19/2022 15:30:00,1265,1271,1254.5,1260.8,4502155
1/20/2022 15:30:00,1250.03,1254.97,1227.5,1238.72,7612203
1/21/2022 15:30:00,1226,1251.13,1226,1238.93,6155759
1/24/2022 15:30:00,1237.5,1252.38,1177.55,1188.95,10092511
1/25/2022 15:30:00,1174.78,1194.33,1152.5,1186.63,11311456
1/27/2022 15:30:00,1168,1178.05,1155.53,1169.05,9239426
1/28/2022 15:30:00,1182.5,1187.95,1164.2,1167.93,6769154
1/31/2022 15:30:00,1180.1,1203.2,1178.1,1193.3,5604308
2/1/2022 15:30:00,1204,1210.3,1173.55,1189.35,6092033
2/2/2022 15:30:00,1203.5,1203.5,1187.55,1191.78,4623163
2/3/2022 15:30:00,1196,1200.72,1173.6,1176.38,4417864
2/4/2022 15:30:00,1170.5,1174.22,1160.55,1165.65,5104761
2/7/2022 15:30:00,1171,1178.4,1152.5,1158.55,4944725
2/8/2022 15:30:00,1165.33,1180,1155,1178.03,5566080
2/9/2022 15:30:00,1185.58,1193.6,1179,1191.75,5300891
2/10/2022 15:30:00,1197.85,1197.85,1182.55,1190.53,5752361
2/11/2022 15:30:00,1186.63,1192.25,1172.05,1188.2,7357863
2/14/2022 15:30:00,1170.13,1177.47,1156.5,1169.28,4947109
2/15/2022 15:30:00,1175.6,1211.95,1167.85,1208.97,5174646
2/16/2022 15:30:00,1215,1216.5,1197.97,1206.47,4796294
2/17/2022 15:30:00,1210.05,1227.45,1205,1221.75,5931774
2/18/2022 15:30:00,1222.2,1228.2,1210.08,1212.2,3126873
2/21/2022 15:30:00,1206,1218.75,1192.3,1199.95,5125968
2/22/2022 15:30:00,1176.45,1197.95,1173.58,1194.5,6227901
2/23/2022 15:30:00,1200.55,1203.28,1184,1187.03,3373615
2/24/2022 15:30:00,1152.5,1169.95,1121.7,1127.88,11466725
2/25/2022 15:30:00,1140.05,1153.97,1138.13,1141.97,6724094
2/28/2022 15:30:00,1121.5,1183.68,1121.5,1179.78,9828768
3/2/2022 15:30:00,1167.22,1200.5,1164.6,1199.28,9909226
3/3/2022 15:30:00,1200,1207.43,1185.03,1189.15,4701183
3/4/2022 15:30:00,1176.5,1182.15,1160.18,1162.78,4986814
3/7/2022 15:30:00,1139.35,1156.05,1111,1119.78,8299295
3/8/2022 15:30:00,1105.75,1123,1090,1117.75,9825043
3/9/2022 15:30:00,1118,1183.5,1117.08,1177.05,9421163
3/10/2022 15:30:00,1200,1202.5,1180,1196.13,8297995
3/11/2022 15:30:00,1188.03,1205.5,1188.03,1199.58,5656799
3/14/2022 15:30:00,1193.45,1212.2,1187,1209.43,3849222
3/15/2022 15:30:00,1213.97,1213.97,1170.43,1181.72,7349740
3/16/2022 15:30:00,1191,1203.95,1188.55,1201.68,5145644
3/17/2022 15:30:00,1216.38,1248.7,1207.55,1240.85,9886295
3/21/2022 15:30:00,1222,1242,1219.5,1233.7,5537752
3/22/2022 15:30:00,1230.05,1267.47,1226.8,1265.58,10410082
3/23/2022 15:30:00,1261.5,1282.43,1261.5,1269.6,7135797
3/24/2022 15:30:00,1255,1292.08,1255,1289.33,6077153
3/25/2022 15:30:00,1291.25,1308,1288.5,1297.93,6563676
3/28/2022 15:30:00,1305,1314.88,1293.25,1310.98,4564891
3/29/2022 15:30:00,1319,1319,1303.7,1311.28,4007695
3/30/2022 15:30:00,1319.95,1344,1308.55,1336.48,7297028
3/31/2022 15:30:00,1332.48,1334.85,1314.3,1317.38,6102744
4/1/2022 15:30:00,1318,1332.58,1311,1327.93,3656408
4/4/2022 15:30:00,1327.73,1337.5,1320.83,1331.85,3659307
4/5/2022 15:30:00,1325.55,1334.95,1310.35,1313.03,6068663
4/6/2022 15:30:00,1293.55,1317.25,1293.55,1309.53,5656703
4/7/2022 15:30:00,1297.55,1303,1283.5,1286.43,7151632
4/8/2022 15:30:00,1280,1312.5,1280,1307.83,6992874
4/11/2022 15:30:00,1300,1319.28,1291.5,1305.1,4270816
4/12/2022 15:30:00,1293.5,1301.3,1277.7,1280.53,6099986
4/13/2022 15:30:00,1287.25,1296.3,1272.75,1275.83,4778478
4/18/2022 15:30:00,1266.5,1279.9,1260.9,1271.93,4603103
4/19/2022 15:30:00,1279,1334,1275.53,1320.4,12064446
4/20/2022 15:30:00,1328.55,1367,1324.55,1359.23,11570835
4/21/2022 15:30:00,1375.45,1394.5,1366,1391.05,10018531
4/22/2022 15:30:00,1379.45,1401,1372.1,1379.4,6947490
4/25/2022 15:30:00,1371.2,1379.2,1331.83,1347.5,7874671
4/26/2022 15:30:00,1355,1397.5,1353.85,1387.83,5643066
4/27/2022 15:30:00,1377.93,1414,1377.53,1389.18,8924920
